Namespace(arch='vgg_small_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=2023, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-000', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	1.705	1.403	39.305	50.521
1	1.512	1.225	48.770	58.654
2	1.385	1.090	55.140	64.032
3	1.206	1.075	61.446	66.757
4	1.019	0.852	66.278	72.165
5	0.861	0.778	70.607	73.427
6	0.759	0.709	73.982	76.002
7	0.673	0.622	76.671	78.716
8	0.619	0.581	78.377	80.409
9	0.579	0.603	79.812	79.858
10	0.556	0.563	80.547	80.970
11	0.535	0.531	81.448	82.622
12	0.507	0.547	82.141	82.041
13	0.495	0.539	82.875	82.302
14	0.487	0.565	82.949	81.540
15	0.473	0.582	83.564	81.761
16	0.464	0.513	83.946	83.584
17	0.442	0.535	84.696	83.193
18	0.419	0.512	85.523	83.844
19	0.410	0.520	85.809	83.994
20	0.391	0.530	86.534	84.075
21	0.383	0.523	86.683	83.824
22	0.377	0.575	86.857	83.003
23	0.358	0.561	87.456	83.233
24	0.348	0.571	87.891	83.714
25	0.340	0.549	87.837	83.534
26	0.322	0.553	88.760	83.844
27	0.321	0.498	88.796	84.886
28	0.310	0.566	89.105	83.954
29	0.307	0.563	89.239	84.465
30	0.297	0.462	89.529	86.558
31	0.301	0.474	89.559	85.988
32	0.290	0.522	89.924	85.176
33	0.287	0.511	90.002	84.896
34	0.276	0.500	90.268	85.697
35	0.272	0.544	90.333	85.236
36	0.272	0.589	90.605	83.994
37	0.267	0.559	90.605	84.425
38	0.260	0.554	90.964	84.555
39	0.255	0.510	90.968	86.258
40	0.250	0.481	91.172	86.258
41	0.247	0.560	91.292	85.056
42	0.245	0.593	91.406	84.065
43	0.241	0.532	91.518	85.166
44	0.241	0.496	91.579	85.968
45	0.240	0.520	91.599	85.317
46	0.239	0.543	91.504	85.667
47	0.236	0.602	91.657	84.736
48	0.224	0.523	92.163	86.258
49	0.227	0.499	92.047	85.867
50	0.224	0.511	91.967	86.518
51	0.224	0.496	92.107	86.408
52	0.220	0.555	92.274	85.998
53	0.211	0.466	92.408	87.129
54	0.216	0.612	92.396	84.665
55	0.209	0.472	92.650	86.839
56	0.212	0.585	92.472	84.796
57	0.208	0.468	92.516	86.729
58	0.208	0.505	92.602	86.789
59	0.208	0.636	92.702	83.904
60	0.204	0.544	92.859	85.016
61	0.199	0.478	92.831	87.069
62	0.197	0.427	93.137	87.280
63	0.195	0.502	93.085	86.789
64	0.192	0.455	93.279	87.861
65	0.198	0.433	93.021	87.320
66	0.195	0.418	93.049	87.881
67	0.196	0.430	93.141	87.520
68	0.194	0.437	93.103	87.480
69	0.181	0.510	93.694	86.959
70	0.184	0.420	93.389	87.029
71	0.188	0.477	93.319	86.478
72	0.185	0.404	93.436	88.452
73	0.184	0.477	93.458	87.119
74	0.188	0.552	93.421	85.156
75	0.175	0.533	93.802	86.228
76	0.181	0.424	93.626	86.869
77	0.176	0.445	93.794	87.690
78	0.185	0.417	93.440	87.630
79	0.175	0.516	93.764	86.729
80	0.174	0.432	93.832	87.780
81	0.173	0.437	93.858	87.059
82	0.168	0.427	94.095	87.460
83	0.174	0.458	93.894	87.049
84	0.164	0.443	94.135	87.861
85	0.171	0.444	94.010	87.570
86	0.170	0.475	93.970	86.869
87	0.164	0.504	94.185	86.378
88	0.167	0.469	94.044	87.430
89	0.164	0.481	94.153	86.639
90	0.165	0.454	94.115	87.490
91	0.160	0.441	94.311	88.021
92	0.158	0.474	94.487	87.079
93	0.163	0.450	94.195	87.510
94	0.162	0.409	94.265	88.061
95	0.162	0.400	94.299	88.011
96	0.162	0.452	94.255	87.530
97	0.164	0.444	94.139	87.310
98	0.157	0.418	94.419	87.871
99	0.154	0.449	94.551	87.640
100	0.148	0.545	94.788	86.418
101	0.152	0.466	94.663	87.019
102	0.152	0.455	94.587	87.430
103	0.150	0.465	94.637	87.650
104	0.148	0.406	94.718	87.560
105	0.151	0.406	94.579	88.151
106	0.147	0.425	94.724	88.021
107	0.153	0.428	94.609	88.121
108	0.150	0.414	94.593	87.179
109	0.149	0.468	94.778	86.829
110	0.149	0.411	94.704	87.440
111	0.148	0.428	94.782	87.851
112	0.143	0.408	94.868	87.740
113	0.147	0.562	94.786	85.897
114	0.151	0.437	94.579	88.071
115	0.145	0.446	94.896	87.760
116	0.145	0.441	94.738	87.901
117	0.139	0.403	95.230	88.632
118	0.138	0.446	95.140	87.380
119	0.143	0.432	94.944	88.001
120	0.147	0.460	94.774	87.410
121	0.139	0.468	95.064	87.099
122	0.134	0.515	95.284	87.039
123	0.144	0.455	94.862	87.380
124	0.147	0.441	94.716	87.450
125	0.139	0.414	95.082	86.909
126	0.140	0.451	94.928	87.550
127	0.135	0.482	95.216	87.470
128	0.136	0.454	95.190	87.490
129	0.133	0.439	95.190	88.191
130	0.140	0.445	95.074	87.750
131	0.137	0.474	95.220	87.089
132	0.135	0.460	95.184	86.949
133	0.129	0.410	95.447	88.642
134	0.132	0.502	95.371	87.440
135	0.126	0.405	95.619	88.331
136	0.129	0.437	95.453	87.790
137	0.135	0.415	95.226	87.660
138	0.133	0.460	95.192	86.819
139	0.134	0.400	95.262	88.341
140	0.131	0.395	95.308	89.463
141	0.135	0.415	95.256	88.281
142	0.130	0.484	95.401	87.410
143	0.135	0.424	95.150	87.089
144	0.124	0.477	95.571	86.829
145	0.126	0.418	95.529	87.951
146	0.126	0.505	95.511	86.338
147	0.123	0.438	95.587	87.640
148	0.128	0.546	95.469	86.909
149	0.127	0.480	95.393	87.670
150	0.124	0.501	95.593	86.839
151	0.133	0.412	95.218	88.401
152	0.126	0.503	95.531	86.959
153	0.130	0.560	95.435	84.926
154	0.123	0.417	95.537	88.121
155	0.120	0.474	95.737	88.011
156	0.122	0.421	95.659	88.201
157	0.125	0.511	95.557	87.139
158	0.128	0.530	95.513	86.168
159	0.124	0.466	95.593	87.059
160	0.124	0.470	95.527	86.969
161	0.121	0.430	95.731	88.291
162	0.122	0.444	95.703	86.929
163	0.123	0.424	95.669	88.181
164	0.123	0.442	95.663	87.941
165	0.118	0.456	95.807	88.131
166	0.119	0.445	95.717	87.831
167	0.121	0.499	95.765	86.859
168	0.115	0.423	95.873	88.672
169	0.122	0.435	95.645	88.552
170	0.123	0.516	95.741	86.599
171	0.117	0.505	95.781	86.789
172	0.118	0.402	95.739	88.582
173	0.121	0.428	95.811	88.261
174	0.121	0.397	95.711	88.912
175	0.113	0.490	95.917	87.149
176	0.113	0.467	96.036	88.221
177	0.120	0.435	95.817	88.442
178	0.123	0.423	95.465	88.612
179	0.119	0.412	95.737	87.971
180	0.115	0.396	95.972	88.972
181	0.114	0.415	95.986	87.921
182	0.110	0.452	96.048	87.460
183	0.111	0.449	96.066	87.871
184	0.116	0.432	95.861	88.572
185	0.114	0.506	96.000	87.831
186	0.116	0.459	95.915	87.841
187	0.118	0.442	95.857	87.720
188	0.111	0.405	96.076	88.862
189	0.114	0.431	96.012	87.490
190	0.111	0.457	96.176	87.640
191	0.118	0.422	95.749	87.841
