Namespace(arch='vgg_small_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=2023, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-003', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	1.848	1.537	37.853	48.778
1	1.920	1.632	45.272	53.836
2	2.208	2.203	49.744	54.026
3	2.633	2.291	53.193	61.318
4	2.749	2.619	57.366	62.760
5	2.762	2.816	61.292	63.622
6	2.668	3.235	63.482	62.760
7	2.537	2.707	65.373	66.567
8	2.492	3.015	66.619	66.667
9	2.454	3.859	67.210	64.804
10	2.328	3.973	68.179	66.767
11	2.020	3.165	69.830	68.570
12	1.728	2.531	71.442	71.705
13	1.568	2.503	72.013	71.214
14	1.340	2.907	73.620	67.829
15	1.109	1.842	75.054	73.668
16	0.964	1.853	76.496	73.427
17	0.803	1.303	78.173	74.820
18	0.681	1.214	80.102	77.474
19	0.616	0.936	81.214	79.357
20	0.556	0.922	82.544	79.387
21	0.523	0.762	83.153	81.350
22	0.495	0.739	83.816	81.250
23	0.457	1.066	84.619	78.255
24	0.427	0.799	85.529	80.940
25	0.416	0.685	85.793	81.831
26	0.400	0.647	86.166	82.823
27	0.385	0.722	86.695	81.751
28	0.373	0.798	87.190	80.629
29	0.364	0.718	87.404	82.802
30	0.350	0.764	87.845	82.222
31	0.344	0.618	88.039	83.363
32	0.332	0.611	88.385	83.403
33	0.330	0.646	88.530	83.403
34	0.318	0.639	88.838	82.712
35	0.312	0.658	89.026	82.983
36	0.314	0.890	89.085	80.679
37	0.299	0.789	89.453	81.380
38	0.299	0.580	89.631	84.675
39	0.292	0.658	89.744	83.674
40	0.288	0.609	89.862	83.794
41	0.278	0.826	90.329	81.300
42	0.281	0.730	90.122	82.272
43	0.271	0.656	90.561	83.564
44	0.268	0.669	90.557	82.622
45	0.270	1.035	90.359	78.836
46	0.265	0.615	90.617	83.914
47	0.258	0.693	90.905	83.233
48	0.253	0.642	91.116	83.754
49	0.250	0.584	91.250	84.205
50	0.246	0.601	91.322	84.065
51	0.245	0.523	91.332	85.497
52	0.242	0.570	91.406	84.515
53	0.244	0.531	91.318	85.196
54	0.233	0.526	91.717	85.327
55	0.237	0.495	91.681	86.158
56	0.225	0.471	91.931	86.849
57	0.229	0.547	91.985	85.367
58	0.224	0.496	91.901	85.647
59	0.223	0.466	92.153	85.377
60	0.221	0.509	92.167	86.028
61	0.216	0.534	92.288	84.475
62	0.218	0.450	92.284	86.819
63	0.217	0.476	92.302	85.357
64	0.212	0.470	92.474	86.108
65	0.212	0.564	92.460	85.166
66	0.209	0.550	92.568	85.206
67	0.207	0.553	92.686	85.266
68	0.201	0.538	92.855	85.176
69	0.199	0.449	92.905	86.508
70	0.201	0.437	92.893	87.250
71	0.195	0.417	93.069	87.049
72	0.196	0.462	93.027	87.029
73	0.189	0.459	93.271	86.949
74	0.197	0.479	92.991	87.139
75	0.190	0.466	93.205	86.719
76	0.192	0.417	93.113	87.009
77	0.189	0.421	93.247	87.109
78	0.187	0.437	93.273	86.158
79	0.183	0.446	93.528	86.659
80	0.180	0.493	93.554	85.998
81	0.183	0.464	93.510	86.779
82	0.179	0.409	93.512	88.161
83	0.181	0.441	93.614	87.179
84	0.180	0.482	93.668	86.558
85	0.177	0.447	93.714	86.569
86	0.176	0.406	93.774	88.061
87	0.170	0.409	93.876	87.270
88	0.171	0.467	93.832	86.388
89	0.178	0.508	93.694	85.958
90	0.173	0.461	93.904	87.640
91	0.167	0.433	94.089	88.111
92	0.165	0.467	94.199	86.639
93	0.167	0.502	94.091	85.978
94	0.168	0.453	94.081	87.420
95	0.168	0.485	94.119	86.438
96	0.164	0.412	94.038	87.029
97	0.163	0.455	94.193	87.069
98	0.163	0.448	94.181	87.139
99	0.158	0.449	94.387	86.418
100	0.162	0.444	94.289	87.109
101	0.161	0.431	94.355	87.250
102	0.160	0.417	94.309	88.001
103	0.155	0.424	94.443	87.811
104	0.155	0.498	94.481	86.949
105	0.158	0.466	94.409	87.220
106	0.158	0.416	94.375	88.031
107	0.159	0.478	94.251	87.059
108	0.155	0.510	94.531	85.857
109	0.159	0.408	94.293	87.330
110	0.152	0.432	94.511	87.560
111	0.147	0.529	94.818	86.869
112	0.151	0.408	94.686	88.271
113	0.148	0.462	94.712	87.941
114	0.148	0.486	94.776	86.959
115	0.150	0.471	94.692	87.190
116	0.149	0.402	94.724	88.121
117	0.146	0.472	94.824	87.530
118	0.142	0.426	94.864	87.861
119	0.141	0.445	94.966	87.430
120	0.148	0.426	94.742	87.871
121	0.150	0.499	94.732	86.809
122	0.143	0.472	94.830	87.079
123	0.140	0.455	94.960	88.261
124	0.137	0.414	95.160	88.261
125	0.139	0.446	95.048	87.069
126	0.141	0.428	95.040	86.999
127	0.133	0.433	95.276	87.851
128	0.135	0.417	95.282	88.231
129	0.138	0.440	95.182	88.191
130	0.140	0.449	95.032	87.500
131	0.135	0.403	95.282	87.951
132	0.138	0.442	95.104	88.031
133	0.129	0.412	95.467	88.381
134	0.134	0.409	95.234	88.502
135	0.135	0.420	95.180	88.391
136	0.137	0.562	95.142	86.388
137	0.138	0.428	95.066	88.111
138	0.133	0.481	95.198	87.019
139	0.127	0.468	95.489	87.009
140	0.128	0.421	95.477	88.642
141	0.127	0.486	95.497	86.789
142	0.127	0.434	95.393	88.121
143	0.130	0.431	95.375	87.961
144	0.132	0.442	95.413	87.821
145	0.124	0.482	95.551	86.929
146	0.130	0.428	95.335	88.281
147	0.118	0.391	95.837	88.291
148	0.124	0.452	95.697	88.111
149	0.124	0.427	95.593	88.061
150	0.123	0.450	95.623	87.530
151	0.130	0.473	95.427	87.490
152	0.129	0.418	95.417	87.841
153	0.125	0.436	95.619	88.221
154	0.120	0.421	95.827	88.852
155	0.117	0.454	95.763	87.230
156	0.120	0.438	95.735	88.231
157	0.117	0.410	95.942	88.472
158	0.123	0.480	95.673	87.270
159	0.121	0.405	95.719	88.772
160	0.121	0.465	95.745	88.221
161	0.120	0.399	95.681	89.062
162	0.117	0.433	95.889	87.780
163	0.117	0.430	95.839	87.750
164	0.120	0.472	95.793	87.240
165	0.115	0.446	95.986	88.211
166	0.119	0.429	95.799	88.221
167	0.115	0.454	96.036	87.159
168	0.113	0.442	96.028	87.780
169	0.112	0.442	95.952	87.881
170	0.112	0.433	96.048	87.971
171	0.124	0.454	95.579	87.550
172	0.119	0.462	95.865	87.640
173	0.119	0.418	95.793	87.690
174	0.117	0.411	95.799	88.421
175	0.122	0.444	95.689	88.091
176	0.114	0.437	96.008	88.421
177	0.111	0.421	96.120	87.821
178	0.113	0.408	96.040	88.031
179	0.119	0.471	95.731	86.168
180	0.119	0.443	95.671	87.560
181	0.118	0.457	95.907	87.510
182	0.112	0.408	96.046	88.972
183	0.112	0.433	95.992	87.981
184	0.109	0.418	96.188	88.331
185	0.113	0.408	95.905	87.911
186	0.111	0.435	96.010	88.131
187	0.118	0.461	95.787	87.340
188	0.117	0.409	95.859	87.650
189	0.115	0.433	95.962	88.131
190	0.111	0.465	96.132	87.340
191	0.116	0.405	95.911	88.632
192	0.118	0.437	95.793	87.981
193	0.114	0.416	96.040	88.141
194	0.109	0.408	96.094	88.552
195	0.105	0.420	96.346	88.281
196	0.112	0.455	96.074	88.101
197	0.116	0.407	95.968	88.051
198	0.113	0.416	96.008	88.331
199	0.114	0.397	95.990	88.782
200	0.113	0.428	96.068	87.921
201	0.109	0.477	96.190	87.430
202	0.110	0.411	96.142	88.452
203	0.110	0.542	96.092	86.789
204	0.111	0.490	96.038	87.179
