Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, Use_tSNE=True, save_dir='saveModel-003', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	1.980	1.793	27.478	33.864
1	1.729	1.684	36.110	37.961
2	1.594	1.513	41.086	43.870
3	1.500	1.456	44.996	46.544
4	1.420	1.346	47.849	50.230
5	1.350	1.283	50.821	52.734
6	1.285	1.299	53.381	52.794
7	1.235	1.169	55.333	57.292
8	1.192	1.119	57.145	59.445
9	1.156	1.171	58.347	58.113
10	1.129	1.074	59.708	61.639
11	1.091	1.063	60.765	62.079
12	1.058	1.032	62.141	63.582
13	1.029	1.057	63.315	62.891
14	1.001	0.959	64.395	66.116
15	0.973	1.104	65.587	62.290
16	0.952	0.977	66.190	66.156
17	0.922	0.963	67.169	66.767
18	0.903	0.938	68.137	67.338
19	0.886	0.974	68.498	67.348
20	0.865	0.973	69.353	66.847
21	0.847	1.033	69.948	66.336
22	0.828	1.192	70.897	62.891
23	0.812	0.883	71.154	69.922
24	0.801	0.923	71.482	69.301
25	0.779	0.906	72.400	69.882
26	0.765	0.936	73.003	68.870
27	0.759	0.829	73.239	71.675
28	0.741	0.860	73.812	71.605
29	0.736	0.979	74.165	68.039
30	0.725	0.812	74.425	73.738
31	0.719	0.910	74.884	70.853
32	0.705	0.747	75.349	74.179
33	0.694	0.737	75.701	74.549
34	0.686	0.716	76.010	75.601
35	0.679	0.707	76.042	75.751
36	0.664	0.819	76.773	73.508
37	0.662	0.745	76.929	73.828
38	0.654	0.712	77.294	75.311
39	0.647	0.703	77.330	75.701
40	0.642	0.658	77.640	76.903
41	0.639	0.693	77.744	76.282
42	0.632	0.831	77.855	72.676
43	0.627	0.779	78.073	73.958
44	0.628	0.682	78.161	76.522
45	0.614	0.722	78.678	75.521
46	0.613	0.647	78.690	77.955
47	0.610	0.713	78.720	75.491
48	0.599	0.672	79.089	76.673
49	0.603	0.709	78.836	76.012
50	0.601	0.737	79.133	74.820
51	0.597	0.654	79.062	77.865
52	0.590	0.660	79.441	77.624
53	0.584	0.640	79.495	78.355
