Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, Use_tSNE=True, save_dir='saveModel-005', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.053	1.868	24.361	29.728
1	1.791	1.731	33.093	35.887
2	1.662	1.589	37.790	40.325
3	1.578	1.539	41.558	42.598
4	1.496	1.456	44.934	45.513
5	1.432	1.374	47.456	49.209
6	1.363	1.291	50.421	53.135
7	1.291	1.262	53.145	54.778
8	1.235	1.162	55.413	58.353
9	1.177	1.187	57.584	57.802
10	1.134	1.117	59.421	59.856
11	1.094	1.084	60.751	62.670
12	1.056	1.085	62.192	61.208
13	1.032	1.087	63.347	62.089
14	1.002	1.243	64.447	58.454
15	0.977	1.051	65.136	63.502
16	0.955	1.070	65.950	63.592
17	0.937	1.251	66.737	59.916
18	0.910	1.050	67.618	65.785
19	0.893	1.003	68.542	66.867
20	0.875	1.016	68.998	66.276
21	0.852	1.129	69.798	64.263
22	0.843	0.923	70.178	68.640
23	0.822	0.939	70.968	67.959
24	0.811	0.969	71.438	68.219
25	0.793	0.952	72.009	68.169
26	0.787	0.909	72.222	69.942
27	0.766	1.026	73.001	67.508
28	0.755	0.932	73.538	69.601
29	0.745	0.806	73.962	72.456
30	0.729	0.903	74.485	70.883
31	0.720	0.918	74.643	69.872
32	0.708	0.884	74.900	71.104
33	0.697	1.034	75.529	67.177
34	0.686	0.747	75.911	74.820
35	0.677	0.828	76.310	73.468
36	0.673	0.777	76.542	74.109
37	0.665	0.868	76.715	72.045
38	0.658	0.883	76.785	71.534
39	0.647	0.884	77.346	71.174
40	0.645	0.820	77.326	73.087
41	0.648	0.813	77.376	73.137
42	0.640	0.759	77.720	74.329
43	0.627	0.966	78.147	68.900
44	0.622	0.786	78.227	74.269
45	0.623	0.729	78.303	75.972
46	0.619	0.830	78.391	72.035
47	0.613	0.797	78.576	74.279
48	0.610	0.714	78.572	76.342
49	0.609	1.006	78.652	67.849
50	0.608	0.938	78.974	69.641
51	0.594	0.699	79.175	76.142
52	0.599	0.790	79.067	73.257
53	0.595	0.757	79.271	74.479
54	0.586	0.995	79.455	67.979
55	0.593	0.777	79.425	74.038
56	0.593	0.711	79.463	76.693
57	0.581	0.687	79.740	76.863
58	0.579	0.932	79.816	70.242
59	0.579	0.801	79.776	73.628
60	0.576	0.773	79.858	74.419
61	0.572	0.645	80.194	78.115
