Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-007', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.019	1.851	25.837	31.911
1	1.788	1.712	34.129	35.837
2	1.649	1.582	39.083	41.707
3	1.556	1.469	42.338	45.062
4	1.476	1.421	45.803	45.863
5	1.405	1.303	48.690	52.855
6	1.339	1.301	51.148	52.624
7	1.268	1.263	54.101	54.688
8	1.216	1.280	56.238	55.098
9	1.169	1.111	58.145	60.296
10	1.132	1.203	59.093	57.382
11	1.089	1.152	60.982	59.335
12	1.059	1.089	62.099	62.009
13	1.023	1.117	63.323	60.877
14	0.988	1.057	64.794	63.552
15	0.978	1.100	64.954	62.410
16	0.940	0.952	66.573	66.697
17	0.918	1.022	67.380	65.184
18	0.900	1.065	68.167	63.652
19	0.873	0.972	69.008	67.398
20	0.857	0.909	69.629	68.590
21	0.839	1.232	70.593	62.179
22	0.819	0.882	70.996	69.581
23	0.804	1.003	71.671	68.309
24	0.788	0.874	72.216	71.074
25	0.771	0.921	72.668	69.151
26	0.751	0.922	73.644	69.882
27	0.738	0.881	74.275	71.134
28	0.726	0.953	74.321	70.092
29	0.719	0.801	74.621	73.828
30	0.704	0.795	75.092	73.788
31	0.691	0.776	76.000	74.008
32	0.685	0.719	76.194	75.661
33	0.672	0.806	76.438	73.027
34	0.671	0.736	76.601	74.359
35	0.666	0.709	76.735	76.082
36	0.657	0.727	76.959	75.371
37	0.642	0.812	77.614	73.528
38	0.642	0.806	77.626	73.117
39	0.641	0.771	77.654	74.559
40	0.628	0.719	78.119	75.591
41	0.630	0.738	77.971	74.840
42	0.621	0.700	78.313	76.312
43	0.614	0.774	78.516	73.658
44	0.618	0.712	78.476	75.541
45	0.607	0.672	78.804	76.933
46	0.606	0.699	78.570	76.733
47	0.605	0.655	78.758	77.684
48	0.600	0.841	79.207	72.756
49	0.599	0.736	78.872	75.170
50	0.594	0.682	79.207	76.733
51	0.596	0.811	79.209	73.387
52	0.598	0.754	79.141	73.858
53	0.588	0.777	79.391	74.209
54	0.585	0.753	79.565	75.631
55	0.577	0.715	79.696	76.122
56	0.577	0.686	80.084	76.683
57	0.574	0.865	79.938	73.327
58	0.574	0.699	79.956	76.643
59	0.569	0.690	80.002	76.693
60	0.569	0.632	80.084	78.716
61	0.563	0.661	80.204	77.324
62	0.566	0.792	80.407	74.018
63	0.564	0.687	80.369	76.442
64	0.565	0.648	80.397	77.574
65	0.558	0.745	80.557	75.831
66	0.556	0.635	80.507	78.095
67	0.557	0.720	80.569	76.442
68	0.552	0.632	80.743	78.756
69	0.555	0.658	80.447	77.614
70	0.550	0.710	81.002	76.372
71	0.544	0.702	80.946	76.663
72	0.547	0.616	80.837	78.656
73	0.543	0.690	80.980	77.444
74	0.547	0.621	80.958	78.295
75	0.543	0.629	81.230	78.315
76	0.543	0.706	81.198	76.312
77	0.542	0.677	81.134	76.693
78	0.534	1.099	81.440	66.106
79	0.537	0.677	81.244	77.424
