Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, Use_tSNE=True, save_dir='saveModel-001', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.041	1.806	24.936	32.993
1	1.715	1.624	36.304	40.284
2	1.598	1.565	40.621	43.029
3	1.507	1.541	44.631	43.580
4	1.432	1.374	47.530	49.960
5	1.369	1.339	50.397	51.402
6	1.295	1.250	53.241	54.758
7	1.236	1.152	55.236	58.594
8	1.198	1.112	56.875	59.685
9	1.163	1.118	58.085	59.515
10	1.122	1.163	59.762	58.824
11	1.093	1.339	60.859	56.440
12	1.067	1.089	61.763	61.869
13	1.043	1.087	62.933	61.749
14	1.015	1.085	63.838	63.281
15	0.996	1.141	64.611	60.847
16	0.976	1.116	65.439	61.488
17	0.942	1.137	66.450	61.849
18	0.921	1.184	67.356	62.250
19	0.895	1.026	68.159	65.004
20	0.882	0.978	68.660	66.987
21	0.872	1.052	68.862	65.545
22	0.859	0.989	69.303	66.096
23	0.837	0.904	70.487	69.020
24	0.829	1.220	70.645	61.488
25	0.818	0.966	71.042	67.778
26	0.802	0.992	71.637	68.129
27	0.795	0.850	71.867	71.224
28	0.790	0.856	72.151	70.503
29	0.768	0.831	72.849	71.795
30	0.764	1.033	73.025	67.218
31	0.756	0.832	73.474	71.785
32	0.752	0.774	73.536	73.498
33	0.739	0.806	73.900	72.967
34	0.723	0.805	74.531	72.786
35	0.717	0.841	74.880	71.925
36	0.705	0.857	75.248	72.075
37	0.698	0.962	75.455	69.241
38	0.693	0.745	75.741	74.679
39	0.675	0.801	76.438	72.586
40	0.679	0.846	76.304	71.805
41	0.665	0.750	76.611	74.079
42	0.662	0.752	76.919	74.559
43	0.655	0.719	77.276	75.461
44	0.647	0.727	77.414	75.351
45	0.641	0.810	77.650	73.908
46	0.644	0.713	77.458	75.931
47	0.638	0.735	77.560	75.190
48	0.625	0.708	78.013	75.601
49	0.625	0.755	78.237	74.379
50	0.628	0.665	78.137	77.404
51	0.605	0.784	78.904	73.518
52	0.607	0.822	78.892	72.256
53	0.605	0.715	78.856	75.391
54	0.603	0.759	78.724	73.167
55	0.596	0.834	79.115	72.997
56	0.599	0.770	79.099	74.269
57	0.595	0.703	79.157	75.491
58	0.588	0.687	79.353	76.633
59	0.583	0.955	79.509	69.872
60	0.590	0.681	79.257	76.883
61	0.577	0.679	79.914	77.394
62	0.576	0.779	80.052	73.798
63	0.573	0.670	80.054	78.395
64	0.572	0.885	80.126	71.124
65	0.573	0.634	80.130	78.335
66	0.568	0.668	80.086	76.943
67	0.565	0.677	80.315	77.624
68	0.560	0.625	80.541	78.676
69	0.558	0.750	80.497	75.481
70	0.561	0.730	80.497	75.100
71	0.564	0.652	80.280	78.005
72	0.557	0.594	80.503	79.267
73	0.552	0.729	80.897	76.352
74	0.555	0.818	80.647	73.438
75	0.547	0.685	80.986	76.502
76	0.547	0.657	80.913	77.113
77	0.552	0.705	80.779	76.242
78	0.543	0.849	81.220	72.716
79	0.542	0.771	81.186	74.008
80	0.545	0.715	81.028	75.321
81	0.537	0.668	81.130	77.424
82	0.542	0.686	81.190	75.982
83	0.536	0.761	81.404	74.930
84	0.540	0.582	81.382	79.788
85	0.543	0.674	80.980	76.522
86	0.529	0.753	81.815	75.120
87	0.531	0.712	81.518	75.531
