Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[1.0, 0.0], resume='', evaluate=False, Use_tSNE=True, save_dir='saveModel-004', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.014	1.843	26.372	32.863
1	1.710	1.600	36.550	40.435
2	1.576	1.643	41.799	41.567
3	1.498	1.736	45.290	40.745
4	1.444	1.645	47.412	41.677
5	1.452	1.629	47.137	41.536
6	1.434	2.423	48.191	27.875
7	1.474	4.153	46.703	15.695
8	1.425	3.283	48.646	21.194
9	1.440	2.459	47.919	23.558
10	1.422	3.796	48.564	13.031
11	1.348	7.926	51.102	11.078
12	1.371	2.353	50.565	28.375
13	1.404	3.164	49.251	14.754
14	1.387	3.025	49.746	19.361
15	1.387	5.196	49.599	10.146
16	1.379	3.996	50.415	24.279
17	1.399	2.172	49.191	31.050
18	1.369	1.786	50.200	37.560
19	1.320	3.155	52.342	22.155
20	1.285	1.403	53.838	50.210
21	1.239	1.569	55.479	47.306
22	1.218	1.463	56.238	48.948
23	1.179	2.608	57.861	31.971
24	1.172	2.022	57.987	45.042
25	1.137	1.450	59.403	49.900
26	1.089	1.481	61.082	50.811
27	1.099	1.823	60.639	42.448
28	1.067	1.861	61.663	47.356
29	1.063	1.319	62.352	54.557
30	1.028	1.140	63.251	60.156
31	1.008	1.673	64.135	50.781
32	1.006	1.731	64.315	48.948
33	0.992	1.461	64.998	54.277
34	0.985	1.232	65.154	59.185
35	0.975	1.164	65.439	59.395
36	0.961	1.570	65.869	50.491
37	0.943	1.387	66.516	54.497
38	0.934	1.624	67.015	50.230
39	0.925	1.432	67.416	56.961
40	0.912	1.138	67.434	61.538
41	0.914	1.246	67.724	57.512
42	0.899	1.063	68.109	63.201
43	0.888	1.146	68.684	62.240
44	0.878	1.651	68.994	48.818
45	0.872	0.940	69.451	66.106
46	0.855	1.073	69.972	64.123
47	0.850	1.551	69.918	55.639
48	0.836	1.219	70.647	57.662
49	0.829	1.708	70.994	50.471
50	0.820	1.016	71.236	64.313
51	0.801	0.935	71.913	67.538
52	0.797	0.999	71.841	65.585
53	0.787	1.207	72.212	60.026
54	0.795	0.951	72.007	67.308
55	0.781	1.034	72.456	66.266
56	0.771	0.896	72.730	69.010
57	0.766	0.889	73.201	69.311
58	0.754	0.858	73.652	70.503
59	0.751	0.994	73.656	67.338
60	0.757	0.874	73.369	69.601
61	0.750	1.133	73.534	62.290
62	0.745	0.960	73.822	68.129
63	0.729	1.025	74.419	66.456
64	0.730	0.969	74.317	66.256
65	0.722	0.870	74.675	70.773
66	0.722	1.128	74.706	63.952
67	0.713	0.969	75.094	68.099
68	0.703	0.877	75.499	69.842
69	0.699	0.828	75.601	71.585
70	0.702	0.854	75.499	70.092
71	0.691	1.161	75.881	64.333
72	0.692	0.810	76.032	72.466
73	0.687	0.769	76.034	73.558
74	0.679	1.053	76.510	64.754
75	0.689	1.059	75.785	63.221
76	0.677	0.923	76.550	69.171
77	0.681	0.823	76.372	71.494
78	0.669	0.752	76.695	74.349
79	0.664	0.827	76.885	72.326
80	0.658	0.911	76.929	69.061
81	0.665	1.019	76.629	67.478
82	0.657	0.908	76.935	69.661
83	0.653	0.848	77.147	69.651
84	0.650	0.938	77.212	69.541
