Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-009', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.007	1.807	27.013	33.784
1	1.756	1.663	35.325	38.111
2	1.623	1.635	40.401	40.194
3	1.530	1.445	43.956	46.725
4	1.455	1.383	46.795	49.279
5	1.373	1.274	50.236	53.175
6	1.301	1.288	52.865	52.734
7	1.255	1.198	54.836	56.190
8	1.204	1.252	56.629	56.170
9	1.159	1.132	58.161	59.746
10	1.116	1.168	60.024	58.844
11	1.091	1.098	60.865	61.438
12	1.054	1.073	62.430	61.849
13	1.019	1.013	63.514	63.902
14	1.002	1.084	64.431	62.821
15	0.969	0.994	65.691	65.184
16	0.946	1.107	66.082	63.732
17	0.927	1.084	67.067	63.852
18	0.901	1.036	68.061	64.934
19	0.879	1.041	68.692	65.224
20	0.860	0.945	69.643	68.239
21	0.851	0.946	69.802	67.528
22	0.834	0.995	70.238	66.336
23	0.815	0.956	71.074	67.658
24	0.815	0.955	71.054	68.019
25	0.790	0.917	72.089	68.790
26	0.787	0.946	72.238	68.830
27	0.776	0.927	72.598	68.670
28	0.769	0.869	72.800	70.823
29	0.761	0.995	73.201	67.268
30	0.745	0.790	73.692	73.067
31	0.745	0.834	73.802	71.254
32	0.729	0.861	74.233	70.843
33	0.727	0.851	74.393	71.454
34	0.715	0.860	74.681	70.683
35	0.720	0.800	74.563	73.207
36	0.710	0.784	74.874	73.017
37	0.704	0.788	75.116	72.817
38	0.694	0.780	75.661	73.377
39	0.687	0.749	75.895	74.109
40	0.694	0.859	75.501	71.755
41	0.682	0.850	75.693	72.186
42	0.677	0.768	76.154	73.528
43	0.674	0.760	76.120	74.369
44	0.674	0.798	76.132	73.417
45	0.671	0.729	76.292	75.270
46	0.658	0.768	76.807	73.518
47	0.657	0.788	76.663	73.888
48	0.655	0.751	76.947	74.129
49	0.654	0.780	76.901	73.988
50	0.658	0.723	76.717	75.050
51	0.648	0.790	77.380	72.887
52	0.655	0.801	76.995	72.736
53	0.639	0.692	77.418	76.322
54	0.641	0.822	77.342	72.135
55	0.629	0.769	77.839	74.710
56	0.624	0.776	78.075	74.249
57	0.632	0.713	77.732	75.841
58	0.623	0.746	78.141	74.199
59	0.622	0.805	78.067	72.586
60	0.623	0.632	78.321	77.624
61	0.609	0.736	78.612	74.850
62	0.620	0.758	78.389	74.339
63	0.608	0.753	78.706	73.658
64	0.608	0.761	78.792	74.700
65	0.604	0.758	78.730	74.659
66	0.604	0.668	78.944	76.923
67	0.592	0.736	79.183	75.110
68	0.595	0.915	79.265	68.650
69	0.586	0.720	79.441	75.521
70	0.597	0.772	79.253	74.139
71	0.580	0.780	79.762	74.069
72	0.579	0.682	79.690	76.492
73	0.579	0.757	79.752	74.659
74	0.571	0.744	79.938	75.100
75	0.571	0.691	80.166	75.811
76	0.564	0.668	80.300	77.284
77	0.572	0.696	80.096	76.663
78	0.573	0.771	79.860	74.589
79	0.563	0.761	80.298	75.180
80	0.568	0.712	80.026	75.771
81	0.554	0.717	80.625	76.452
82	0.566	0.684	80.112	76.232
83	0.563	0.701	80.323	76.022
84	0.553	0.718	80.605	75.641
85	0.553	0.688	80.605	77.113
86	0.559	0.630	80.321	78.996
87	0.546	0.724	80.990	75.120
88	0.546	0.635	80.915	78.135
89	0.544	0.804	81.098	73.498
90	0.546	0.640	80.990	77.794
91	0.547	0.642	80.797	78.105
92	0.537	0.721	81.094	76.562
93	0.534	0.610	81.346	78.966
94	0.539	0.662	81.240	77.404
95	0.537	0.742	81.246	75.701
96	0.530	0.608	81.266	78.946
97	0.538	0.683	81.268	77.714
98	0.531	0.630	81.142	78.596
99	0.534	0.652	81.538	78.165
100	0.530	0.874	81.358	72.887
101	0.535	0.645	81.522	78.095
102	0.528	0.624	81.573	78.486
103	0.524	0.685	81.683	76.933
104	0.530	0.792	81.681	73.037
