0	1.931	1.622	31.925	41.376
1	1.552	1.433	43.175	46.845
2	1.423	1.333	48.584	51.442
3	1.313	1.196	52.879	56.621
4	1.209	1.059	56.971	61.508
5	1.128	1.040	59.880	62.881
6	1.074	0.998	62.053	64.263
7	1.003	1.020	64.545	64.894
8	0.938	0.900	66.615	68.460
9	0.894	0.925	68.744	67.919
10	0.842	0.936	70.122	68.119
11	0.793	0.838	71.967	71.845
12	0.760	0.793	73.109	72.806
13	0.717	0.749	74.790	74.489
14	0.678	0.782	76.248	73.898
15	0.647	0.711	77.420	76.412
16	0.619	0.824	78.053	73.978
17	0.571	0.665	80.086	77.524
18	0.547	0.817	80.857	75.331
19	0.523	0.828	81.583	73.678
20	0.494	0.865	82.592	74.669
21	0.477	0.743	83.295	77.484
22	0.452	0.699	84.135	79.137
23	0.438	0.587	84.663	81.721
24	0.427	0.649	85.074	79.507
25	0.414	0.610	85.527	81.120
26	0.400	0.580	85.988	81.821
27	0.395	0.609	86.152	81.090
28	0.379	0.614	86.775	81.470
29	0.367	0.651	87.111	80.429
30	0.359	0.667	87.406	80.449
31	0.357	0.749	87.578	79.067
32	0.345	0.616	87.859	81.550
33	0.333	0.592	88.299	82.692
34	0.329	0.648	88.536	81.170
35	0.325	0.569	88.598	83.283
36	0.319	0.570	88.678	82.722
37	0.312	0.541	88.904	84.495
38	0.313	0.536	88.964	83.474
39	0.307	0.689	89.303	80.829
40	0.298	0.555	89.583	83.864
41	0.290	0.591	89.730	82.983
42	0.293	0.538	89.573	83.994
43	0.291	0.529	89.671	84.004
44	0.285	0.490	89.928	85.256
45	0.283	0.607	90.036	82.181
46	0.275	0.438	90.264	86.278
47	0.276	0.482	90.276	85.587
48	0.271	0.447	90.467	85.978
49	0.265	0.535	90.651	84.105
50	0.275	0.424	90.391	86.619
51	0.264	0.423	90.667	86.879
52	0.262	0.533	90.797	83.894
53	0.268	0.445	90.563	85.767
54	0.264	0.547	90.723	83.343
55	0.252	0.496	91.058	85.357
56	0.258	0.649	90.911	80.909
57	0.251	0.446	91.174	85.517
58	0.254	0.389	90.954	86.959
59	0.248	0.438	91.304	86.328
60	0.249	0.446	91.222	85.787
61	0.251	0.477	91.186	85.296
62	0.242	0.492	91.460	84.786
63	0.247	0.440	91.266	86.248
64	0.248	0.486	91.042	84.716
65	0.241	0.409	91.534	86.749
66	0.234	0.552	91.789	83.183
67	0.237	0.460	91.675	84.746
68	0.236	0.395	91.629	87.149
69	0.237	0.431	91.673	85.617
70	0.227	0.410	92.047	86.659
71	0.232	0.394	91.733	87.139
72	0.228	0.468	92.001	85.417
73	0.235	0.436	91.593	85.948
74	0.231	0.453	91.811	85.447
75	0.225	0.391	92.041	87.200
76	0.228	0.413	91.901	86.839
77	0.228	0.413	91.911	86.689
78	0.229	0.404	91.937	86.629
79	0.218	0.401	92.252	87.360
80	0.221	0.482	92.258	85.417
81	0.225	0.416	91.941	86.919
82	0.221	0.449	92.119	86.368
83	0.217	0.468	92.336	85.146
84	0.217	0.447	92.296	86.148
85	0.214	0.430	92.368	85.998
86	0.211	0.392	92.520	87.941
87	0.217	0.409	92.330	86.999
88	0.211	0.420	92.446	86.198
89	0.213	0.464	92.456	85.447
90	0.216	0.441	92.418	86.238
91	0.203	0.450	92.837	85.567
92	0.210	0.427	92.616	86.528
93	0.209	0.366	92.558	88.111
94	0.210	0.422	92.436	86.729
95	0.208	0.425	92.570	86.328
96	0.210	0.484	92.678	84.726
97	0.208	0.532	92.582	84.515
98	0.206	0.435	92.704	86.669
99	0.204	0.369	92.790	87.660
100	0.204	0.437	92.780	86.078
101	0.198	0.421	92.929	86.849
102	0.198	0.482	92.991	85.327
103	0.203	0.434	92.688	86.799
104	0.200	0.378	92.951	87.901
105	0.199	0.388	92.849	87.750
106	0.196	0.461	93.007	86.498
107	0.201	0.466	92.943	86.458
108	0.193	0.449	93.197	85.938
109	0.198	0.401	92.945	87.200
110	0.200	0.388	92.885	87.360
111	0.201	0.355	92.857	88.391
112	0.195	0.408	93.091	87.430
113	0.197	0.407	92.999	86.959
114	0.195	0.382	93.101	88.091
115	0.194	0.386	92.979	88.141
116	0.196	0.440	92.955	86.719
117	0.188	0.435	93.313	86.639
118	0.186	0.391	93.261	87.169
119	0.202	0.454	92.738	86.108
120	0.190	0.395	93.325	88.001
121	0.186	0.398	93.458	87.079
122	0.191	0.358	93.323	87.770
123	0.192	0.404	93.105	87.129
124	0.189	0.395	93.155	88.021
125	0.185	0.436	93.337	87.149
126	0.186	0.437	93.506	86.759
127	0.182	0.422	93.584	87.700
128	0.189	0.383	93.339	87.971
129	0.187	0.462	93.355	85.968
130	0.184	0.388	93.429	87.700
131	0.190	0.445	93.167	86.288
132	0.188	0.467	93.305	85.507
133	0.187	0.433	93.349	86.819
134	0.183	0.412	93.522	86.629
135	0.186	0.391	93.389	87.790
136	0.179	0.354	93.596	89.032
137	0.181	0.390	93.538	87.450
138	0.187	0.354	93.309	88.572
139	0.186	0.409	93.450	87.730
140	0.183	0.418	93.502	87.510
141	0.180	0.429	93.632	87.019
142	0.185	0.405	93.476	87.660
143	0.182	0.425	93.484	86.909
144	0.185	0.398	93.544	87.961
145	0.179	0.441	93.764	86.759
146	0.176	0.403	93.776	87.570
147	0.181	0.421	93.600	86.689
148	0.177	0.486	93.698	85.717
149	0.180	0.440	93.668	86.899
150	0.173	0.415	93.862	87.230
151	0.180	0.388	93.654	87.800
152	0.176	0.364	93.800	88.522
153	0.184	0.351	93.391	88.852
154	0.172	0.380	93.928	88.341
155	0.179	0.423	93.796	86.959
156	0.182	0.397	93.478	87.710
157	0.173	0.467	93.988	86.158
158	0.174	0.511	93.826	85.817
159	0.177	0.421	93.798	87.400
160	0.179	0.422	93.702	86.498
161	0.180	0.393	93.608	87.300
162	0.172	0.435	93.872	87.039
163	0.172	0.411	93.914	87.009
164	0.179	0.378	93.652	88.071
165	0.174	0.422	93.844	87.650
166	0.178	0.466	93.676	86.248
167	0.172	0.388	93.954	87.921
168	0.181	0.440	93.568	87.270
169	0.169	0.419	94.079	87.330
170	0.164	0.382	94.221	88.231
171	0.174	0.444	93.760	86.709
172	0.172	0.518	93.848	84.936
173	0.177	0.389	93.808	88.321
174	0.167	0.361	94.075	87.961
175	0.166	0.404	94.115	87.891
176	0.173	0.414	93.954	86.939
177	0.164	0.412	94.231	87.560
178	0.169	0.389	93.872	87.760
179	0.170	0.410	94.058	87.280
180	0.170	0.404	93.944	87.320
181	0.168	0.394	93.864	87.630
182	0.175	0.407	93.754	86.919
183	0.168	0.550	93.958	83.393
184	0.164	0.400	94.155	88.041
