Namespace(arch='ResNet18', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0002, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-00base', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
168	0.348	0.542	87.800	81.941
169	0.353	0.486	87.550	83.784
170	0.342	0.493	87.995	83.203
171	0.349	0.500	87.837	83.283
172	0.345	0.578	87.861	80.839
173	0.342	0.483	87.979	84.075
174	0.349	0.476	87.720	84.175
175	0.348	0.526	87.808	82.362
176	0.346	0.492	87.748	83.904
177	0.346	0.483	87.654	84.075
178	0.348	0.505	87.786	83.213
179	0.346	0.560	87.766	81.380
180	0.347	0.658	87.746	79.117
181	0.353	0.525	87.650	82.742
182	0.340	0.614	87.951	80.599
183	0.345	0.536	87.937	82.131
184	0.348	0.510	87.624	83.393
185	0.342	0.539	87.937	82.522
186	0.336	0.507	88.193	83.313
187	0.341	0.585	87.905	81.200
188	0.341	0.477	87.929	84.415
189	0.336	0.497	88.163	83.734
190	0.340	0.571	87.921	81.621
191	0.331	0.485	88.329	83.954
192	0.335	0.523	88.137	82.833
193	0.335	0.458	88.205	84.595
194	0.328	0.505	88.480	83.433
195	0.335	0.524	88.187	82.782
196	0.354	0.504	87.578	83.373
197	0.341	0.548	87.979	81.741
198	0.328	0.518	88.389	83.123
199	0.327	0.515	88.492	82.973
200	0.337	0.576	88.103	81.240
201	0.340	0.489	87.969	83.964
202	0.341	0.550	87.889	82.422
203	0.333	0.513	88.197	83.293
204	0.338	0.534	88.051	83.373
205	0.337	0.570	88.123	81.931
206	0.327	0.522	88.405	82.662
207	0.329	0.529	88.508	82.893
208	0.345	0.578	87.774	81.440
209	0.329	0.521	88.315	82.141
210	0.323	0.502	88.450	83.604
211	0.333	0.516	88.091	82.913
212	0.334	0.522	88.243	82.782
213	0.336	0.527	88.243	82.061
214	0.327	0.482	88.385	83.844
215	0.337	0.485	88.037	83.644
216	0.325	0.485	88.780	84.205
217	0.325	0.542	88.502	82.652
218	0.329	0.501	88.181	83.193
219	0.320	0.559	88.766	81.971
220	0.330	0.490	88.482	83.544
221	0.324	0.545	88.672	81.971
222	0.326	0.501	88.532	83.093
223	0.324	0.497	88.918	83.494
224	0.318	0.484	88.742	83.423
225	0.315	0.498	88.812	83.814
226	0.329	0.512	88.381	83.263
227	0.322	0.468	88.668	84.065
228	0.314	0.510	88.796	83.333
229	0.317	0.542	89.024	82.462
230	0.325	0.531	88.600	82.672
231	0.326	0.576	88.482	81.310
232	0.333	0.524	88.325	82.853
233	0.308	0.505	89.091	82.983
234	0.309	0.585	89.209	80.419
235	0.327	0.679	88.508	80.308
236	0.338	0.617	88.095	78.986
237	0.325	0.530	88.540	82.262
238	0.319	0.530	88.714	82.181
239	0.324	0.487	88.550	83.944
240	0.312	0.464	88.872	84.595
241	0.316	0.496	88.894	83.614
242	0.314	0.481	88.906	84.205
243	0.324	0.522	88.548	82.893
244	0.318	0.478	88.862	84.235
245	0.315	0.466	88.736	84.215
246	0.311	0.525	89.016	82.943
247	0.312	0.520	88.996	83.073
248	0.321	0.509	88.676	83.363
249	0.325	0.540	88.466	82.041
250	0.309	0.491	89.087	83.734
251	0.305	0.551	89.455	82.091
252	0.308	0.598	89.081	81.200
253	0.312	0.498	89.081	83.824
254	0.320	0.511	88.796	83.303
255	0.313	0.478	88.954	84.125
256	0.317	0.482	88.892	84.235
257	0.317	0.485	88.810	83.964
258	0.309	0.519	89.149	82.843
259	0.297	0.555	89.453	83.033
260	0.294	0.477	89.551	84.425
261	0.297	0.483	89.483	84.515
262	0.308	0.530	89.089	82.151
263	0.298	0.530	89.513	82.913
264	0.307	0.506	89.241	83.804
265	0.307	0.541	89.109	82.652
266	0.304	0.528	89.255	82.903
267	0.311	0.483	89.075	83.834
268	0.302	0.525	89.395	83.574
269	0.300	0.470	89.401	84.445
270	0.302	0.474	89.321	84.415
271	0.290	0.531	89.764	82.642
272	0.308	0.534	89.155	82.322
273	0.313	0.489	88.922	84.215
274	0.306	0.504	89.321	83.253
275	0.299	0.526	89.385	82.081
276	0.309	0.522	89.095	83.043
277	0.310	0.575	89.000	81.761
278	0.298	0.468	89.515	84.746
279	0.300	0.497	89.471	83.984
280	0.292	0.489	89.704	84.175
281	0.295	0.487	89.601	84.565
282	0.295	0.513	89.706	82.913
283	0.286	0.480	89.728	84.135
284	0.302	0.498	89.339	83.363
285	0.299	0.490	89.443	83.844
286	0.296	0.494	89.587	83.724
287	0.298	0.481	89.419	84.195
288	0.294	0.475	89.641	84.225
289	0.293	0.505	89.625	83.614
290	0.295	0.488	89.487	83.884
291	0.288	0.546	89.800	82.352
292	0.298	0.605	89.423	80.499
293	0.298	0.484	89.551	84.315
294	0.294	0.550	89.563	82.242
295	0.303	0.485	89.115	84.265
296	0.295	0.508	89.669	83.173
297	0.298	0.522	89.447	83.423
298	0.297	0.511	89.505	83.333
299	0.292	0.479	89.722	84.065
300	0.292	0.474	89.742	84.655
301	0.291	0.432	89.667	85.477
302	0.292	0.474	89.818	83.894
303	0.286	0.442	89.878	85.046
304	0.286	0.485	89.720	84.054
305	0.281	0.482	90.094	84.315
306	0.292	0.580	89.826	81.581
307	0.300	0.594	89.437	80.929
308	0.302	0.531	89.325	82.622
309	0.293	0.503	89.555	83.664
310	0.281	0.459	90.030	84.886
311	0.287	0.479	89.898	84.415
312	0.275	0.517	90.212	83.554
313	0.281	0.454	89.946	84.545
314	0.277	0.457	90.146	84.886
315	0.272	0.485	90.525	84.285
316	0.274	0.500	90.391	83.524
317	0.284	0.481	89.890	84.215
318	0.287	0.517	89.738	83.123
319	0.281	0.453	90.134	85.256
320	0.272	0.493	90.270	84.034
321	0.274	0.547	90.170	82.542
322	0.280	0.487	90.076	83.964
323	0.272	0.434	90.302	85.757
324	0.270	0.451	90.537	85.387
325	0.266	0.506	90.665	83.764
326	0.277	0.523	90.172	83.373
327	0.274	0.432	90.341	86.298
328	0.274	0.471	90.379	84.385
329	0.279	0.546	90.056	82.632
330	0.282	0.516	90.062	82.883
331	0.279	0.483	90.182	84.766
332	0.277	0.470	90.210	84.896
333	0.272	0.474	90.575	84.095
334	0.271	0.486	90.463	83.904
335	0.273	0.493	90.260	83.594
336	0.276	0.465	90.186	84.585
337	0.275	0.460	90.329	84.675
338	0.281	0.506	90.056	84.024
339	0.270	0.552	90.333	82.622
340	0.266	0.481	90.587	84.125
341	0.269	0.507	90.517	83.313
342	0.269	0.492	90.385	84.395
343	0.274	0.495	90.220	84.054
344	0.279	0.551	90.118	82.482
345	0.282	0.478	90.084	84.305
346	0.264	0.523	90.571	83.193
347	0.274	0.485	90.216	84.585
348	0.278	0.477	90.102	84.675
349	0.266	0.488	90.579	84.355
350	0.264	0.608	90.547	81.450
351	0.275	0.454	90.306	85.016
352	0.260	0.430	90.773	85.897
353	0.262	0.453	90.679	85.036
354	0.264	0.492	90.639	84.265
355	0.270	0.492	90.345	84.004
356	0.275	0.490	90.347	84.044
